date,symbol
02 May 2013,CESC
01 July 2013,NEULANDLAB
01 August 2013,WELSPUNLIV
02 September 2013,PHOENIXLTD
02 September 2013,RADICO
01 October 2013,ONGC
01 October 2013,TATAELXSI
01 October 2013,BHARATFORG
01 October 2013,LT
01 October 2013,ICICIBANK
01 October 2013,TVSMOTOR
01 October 2013,BHARTIARTL
01 October 2013,JBMA
01 October 2013,GALLANTT
02 December 2013,SAREGAMA
02 December 2013,APARINDS
01 January 2014,GAIL
03 February 2014,ABB
03 February 2014,ONGC
03 February 2014,PHOENIXLTD
03 March 2014,GRASIM
03 March 2014,SOBHA
02 May 2014,CEMPRO
02 May 2014,MAHABANK
02 May 2014,NTPC
01 October 2014,GALLANTT
01 June 2015,RELIANCE
01 June 2015,MPHASIS
01 June 2015,ENGINERSIN
02 November 2015,ENGINERSIN
01 December 2015,JSWSTEEL
01 December 2015,ENGINERSIN
01 March 2016,GODREJIND
01 March 2016,HBLENGINE
01 April 2016,CGPOWER
01 April 2016,PCBL
01 April 2016,KARURVYSYA
01 June 2016,ELECON
01 June 2016,JSWENERGY
01 July 2016,SBIN
01 July 2016,PFC
01 August 2016,TATAINVEST
01 August 2016,RECLTD
03 October 2016,JSL
02 January 2017,BHARTIARTL
02 January 2017,IRB
01 March 2017,SCI
01 March 2017,SOBHA
03 April 2017,ELECON
03 October 2017,ELECON
01 December 2017,IFCI
01 February 2018,IDBI
01 August 2018,NTPC
01 October 2018,ADANIPOWER
03 December 2018,PFC
01 March 2019,WELCORP
01 March 2019,NTPC
01 March 2019,GMRAIRPORT
01 March 2019,DLF
02 May 2019,FACT
01 August 2019,MCX
01 October 2019,JINDALSAW
01 October 2019,DLF
01 November 2019,JSWENERGY
02 December 2019,NMDC
02 December 2019,JBMA
01 January 2020,JINDALSAW
01 April 2020,CIPLA
01 June 2020,PERSISTENT
03 August 2020,USHAMART
01 October 2020,TTML
02 November 2020,WELCORP
02 November 2020,PFC
01 June 2021,GODFRYPHLP
01 July 2022,ANANTRAJ
01 July 2022,PFC
01 July 2022,RECLTD
01 August 2022,INOXWIND
01 August 2022,IDFCFIRSTB
03 October 2022,J&KBANK
03 October 2022,MAHABANK
03 October 2022,PFC
03 October 2022,RECLTD
01 November 2022,IFCI
01 November 2022,UCOBANK
01 December 2022,LICHSGFIN
03 April 2023,HINDPETRO
03 April 2023,MRPL
03 April 2023,CHOLAHLDNG
02 May 2023,ABREL
02 May 2023,GODREJIND
02 May 2023,HEROMOTOCO
01 June 2023,MOTILALOFS
03 July 2023,CESC
03 July 2023,EMAMILTD
03 July 2023,SUNTV
01 November 2023,GLAXO
02 May 2025,GRAPHITE
01 February 2026,SUNTV
01 April 2026,SUNTV
01 June 2026,NIACL
